	16depth	25depth
K15583	2106.5	1058.5
K13875	407.0	434.0
K00703	3174.0	845.0
K01876	7764.0	3527.0
K02075	755.0	282.0
K05020	343.0	469.0
K03547	1815.0	1079.0
K03657	15425.0	7104.0
K01338	16648.0	7913.0
K08358	2109.0	599.0
K13895	916.0	527.0
K20975	1205.0	1127.0
K00065	3401.0	1794.5
K05970	5518.0	1091.0
K00635	1421.0	871.0
K01513	239.0	124.0
K01190	9962.0	1685.0
K19668	809.0	153.0
K00219	6222.0	1962.0
K00184	11909.0	3874.0
K02456	6422.0	1779.0
K00067	3289.5	1521.0
K00855	648.0	412.0
K18303	4129.0	2054.0
K02906	2741.0	1407.0
K09696	1440.0	631.0
K19405	1351.0	288.0
K07677	636.0	317.0
K03583	1080.0	465.0
K01770	1813.5	803.0
K01008	4159.0	2184.0
K01090	2110.0	970.0
K01494	1310.0	911.0
K18829	244.0	40.0
K14187	891.0	381.0
K00966	1243.0	502.0
K00012	5454.0	2596.0
K00412	3118.0	2148.0
K11942	4389.0	2291.0
K00827	741.0	250.0
K01470	4030.0	1156.0
K00821	4959.0	2578.0
K07009	57.0	105.0
K02078	2174.0	871.0
K04749	1666.0	608.0
K01802	1888.0	1002.0
K09479	337.0	226.0
K02110	1559.0	528.0
K17323	268.0	229.0
K19339	1313.0	787.0
K00836	312.0	172.0
K03723	11737.0	5477.0
K00302	5231.0	3447.0
K02601	1822.0	922.0
K05989	5236.0	971.0
K00760	1779.0	1032.0
K06217	3335.0	1594.0
K01929	6087.0	2727.5
K20037	110.0	24.0
K02003	18116.0	7023.5
K00927	6200.5	2616.0
K03284	541.0	187.0
K01053	2720.0	1475.0
K00864	5558.0	2943.0
K00394	4438.0	668.0
K01624	3937.0	739.0
K03592	3623.0	1581.0
K07079	5007.0	505.0
K00688	8161.0	1520.0
K13819	974.0	132.0
K04094	1846.0	1270.0
K00656	9966.0	567.0
K02041	852.0	711.0
K01434	6676.0	3348.0
K00826	7917.0	4148.0
K01154	3473.0	1335.0
K21835	3.0	2.0
K03432	423.0	398.0
K17763	1263.0	368.0
K01638	2762.0	2180.0
K00845	5644.0	1694.0
K02419	1093.0	507.0
K01137	4969.0	1201.0
K15980	397.0	237.0
K02065	5422.0	2366.0
K06203	455.0	301.0
K18030	962.0	804.0
K00946	4019.0	1853.0
K18290	326.0	272.0
K01719	997.0	923.0
K02959	1018.0	612.0
K01894	1368.0	1025.0
K01958	1854.0	1537.0
